language,entity id,languageLabel,function name,abstract line,eng concrete line,eng lexicon line
http://www.wikidata.org/entity/Q150,Q150,French,Q150_French,Q150_French : Language ;,Q150_French = mkNP French_N ;,"French_N : N = mkN ""French"" ;"
http://www.wikidata.org/entity/Q33454,Q33454,Fula,Q33454_Fula,Q33454_Fula : Language ;,Q33454_Fula = mkNP Fula_N ;,"Fula_N : N = mkN ""Fula"" ;"
http://www.wikidata.org/entity/Q9307,Q9307,Galician,Q9307_Galician,Q9307_Galician : Language ;,Q9307_Galician = mkNP Galician_N ;,"Galician_N : N = mkN ""Galician"" ;"
http://www.wikidata.org/entity/Q56323,Q56323,Gamo-Gofa-Dawro,Q56323_Gamo_Gofa_Dawro,Q56323_Gamo_Gofa_Dawro : Language ;,Q56323_Gamo_Gofa_Dawro = mkNP Gamo_Gofa_Dawro_N ;,"Gamo_Gofa_Dawro_N : N = mkN ""Gamo-Gofa-Dawro"" ;"
http://www.wikidata.org/entity/Q33475,Q33475,Gan Chinese,Q33475_Gan_Chinese,Q33475_Gan_Chinese : Language ;,Q33475_Gan_Chinese = mkNP Gan_Chinese_N ;,"Gan_Chinese_N : N = mkN ""Gan Chinese"" ;"
http://www.wikidata.org/entity/Q33459,Q33459,Garhwali,Q33459_Garhwali,Q33459_Garhwali : Language ;,Q33459_Garhwali = mkNP Garhwali_N ;,"Garhwali_N : N = mkN ""Garhwali"" ;"
http://www.wikidata.org/entity/Q8108,Q8108,Georgian,Q8108_Georgian,Q8108_Georgian : Language ;,Q8108_Georgian = mkNP Georgian_N ;,"Georgian_N : N = mkN ""Georgian"" ;"
http://www.wikidata.org/entity/Q188,Q188,German,Q188_German,Q188_German : Language ;,Q188_German = mkNP German_N ;,"German_N : N = mkN ""German"" ;"
http://www.wikidata.org/entity/Q5555465,Q5555465,Ghanaian Pidgin English,Q5555465_Ghanaian_Pidgin_English,Q5555465_Ghanaian_Pidgin_English : Language ;,Q5555465_Ghanaian_Pidgin_English = mkNP Ghanaian_Pidgin_English_N ;,"Ghanaian_Pidgin_English_N : N = mkN ""Ghanaian Pidgin English"" ;"
http://www.wikidata.org/entity/Q33587,Q33587,Gikuyu,Q33587_Gikuyu,Q33587_Gikuyu : Language ;,Q33587_Gikuyu = mkNP Gikuyu_N ;,"Gikuyu_N : N = mkN ""Gikuyu"" ;"
http://www.wikidata.org/entity/Q33657,Q33657,Gilaki,Q33657_Gilaki,Q33657_Gilaki : Language ;,Q33657_Gilaki = mkNP Gilaki_N ;,"Gilaki_N : N = mkN ""Gilaki"" ;"
http://www.wikidata.org/entity/Q5575236,Q5575236,Goan Konkani,Q5575236_Goan_Konkani,Q5575236_Goan_Konkani : Language ;,Q5575236_Goan_Konkani = mkNP Goan_Konkani_N ;,"Goan_Konkani_N : N = mkN ""Goan Konkani"" ;"
http://www.wikidata.org/entity/Q1775361,Q1775361,Gondi,Q1775361_Gondi,Q1775361_Gondi : Language ;,Q1775361_Gondi = mkNP Gondi_N ;,"Gondi_N : N = mkN ""Gondi"" ;"
http://www.wikidata.org/entity/Q9129,Q9129,Greek,Q9129_Greek,Q9129_Greek : Language ;,Q9129_Greek = mkNP Greek_N ;,"Greek_N : N = mkN ""Greek"" ;"
http://www.wikidata.org/entity/Q5137,Q5137,Gujarati,Q5137_Gujarati,Q5137_Gujarati : Language ;,Q5137_Gujarati = mkNP Gujarati_N ;,"Gujarati_N : N = mkN ""Gujarati"" ;"
http://www.wikidata.org/entity/Q3111668,Q3111668,Gun,Q3111668_Gun,Q3111668_Gun : Language ;,Q3111668_Gun = mkNP Gun_N ;,"Gun_N : N = mkN ""Gun"" ;"
http://www.wikidata.org/entity/Q3510366,Q3510366,Hadhrami Arabic,Q3510366_Hadhrami_Arabic,Q3510366_Hadhrami_Arabic : Language ;,Q3510366_Hadhrami_Arabic = mkNP Hadhrami_Arabic_N ;,"Hadhrami_Arabic_N : N = mkN ""Hadhrami Arabic"" ;"
http://www.wikidata.org/entity/Q934541,Q934541,Hainanese,Q934541_Hainanese,Q934541_Hainanese : Language ;,Q934541_Hainanese = mkNP Hainanese_N ;,"Hainanese_N : N = mkN ""Hainanese"" ;"
http://www.wikidata.org/entity/Q33491,Q33491,Haitian Creole,Q33491_Haitian_Creole,Q33491_Haitian_Creole : Language ;,Q33491_Haitian_Creole = mkNP Haitian_Creole_N ;,"Haitian_Creole_N : N = mkN ""Haitian Creole"" ;"
http://www.wikidata.org/entity/Q33375,Q33375,Hakka Chinese,Q33375_Hakka_Chinese,Q33375_Hakka_Chinese : Language ;,Q33375_Hakka_Chinese = mkNP Hakka_Chinese_N ;,"Hakka_Chinese_N : N = mkN ""Hakka Chinese"" ;"
http://www.wikidata.org/entity/Q33410,Q33410,Haryanvi,Q33410_Haryanvi,Q33410_Haryanvi : Language ;,Q33410_Haryanvi = mkNP Haryanvi_N ;,"Haryanvi_N : N = mkN ""Haryanvi"" ;"
http://www.wikidata.org/entity/Q56231,Q56231,Hassaniya Arabic,Q56231_Hassaniya_Arabic,Q56231_Hassaniya_Arabic : Language ;,Q56231_Hassaniya_Arabic = mkNP Hassaniya_Arabic_N ;,"Hassaniya_Arabic_N : N = mkN ""Hassaniya Arabic"" ;"
http://www.wikidata.org/entity/Q56475,Q56475,Hausa,Q56475_Hausa,Q56475_Hausa : Language ;,Q56475_Hausa = mkNP Hausa_N ;,"Hausa_N : N = mkN ""Hausa"" ;"
http://www.wikidata.org/entity/Q33398,Q33398,Hazaragi,Q33398_Hazaragi,Q33398_Hazaragi : Language ;,Q33398_Hazaragi = mkNP Hazaragi_N ;,"Hazaragi_N : N = mkN ""Hazaragi"" ;"
http://www.wikidata.org/entity/Q9288,Q9288,Hebrew,Q9288_Hebrew,Q9288_Hebrew : Language ;,Q9288_Hebrew = mkNP Hebrew_N ;,"Hebrew_N : N = mkN ""Hebrew"" ;"
http://www.wikidata.org/entity/Q35978,Q35978,Hiligaynon,Q35978_Hiligaynon,Q35978_Hiligaynon : Language ;,Q35978_Hiligaynon = mkNP Hiligaynon_N ;,"Hiligaynon_N : N = mkN ""Hiligaynon"" ;"
http://www.wikidata.org/entity/Q382273,Q382273,Hindko,Q382273_Hindko,Q382273_Hindko : Language ;,Q382273_Hindko = mkNP Hindko_N ;,"Hindko_N : N = mkN ""Hindko"" ;"
http://www.wikidata.org/entity/Q3307894,Q3307894,Hmong,Q3307894_Hmong,Q3307894_Hmong : Language ;,Q3307894_Hmong = mkNP Hmong_N ;,"Hmong_N : N = mkN ""Hmong"" ;"
http://www.wikidata.org/entity/Q33270,Q33270,Ho,Q33270_Ho,Q33270_Ho : Language ;,Q33270_Ho = mkNP Ho_N ;,"Ho_N : N = mkN ""Ho"" ;"
http://www.wikidata.org/entity/Q56546,Q56546,Huizhou Chinese,Q56546_Huizhou_Chinese,Q56546_Huizhou_Chinese : Language ;,Q56546_Huizhou_Chinese = mkNP Huizhou_Chinese_N ;,"Huizhou_Chinese_N : N = mkN ""Huizhou Chinese"" ;"
http://www.wikidata.org/entity/Q9067,Q9067,Hungarian,Q9067_Hungarian,Q9067_Hungarian : Language ;,Q9067_Hungarian = mkNP Hungarian_N ;,"Hungarian_N : N = mkN ""Hungarian"" ;"
http://www.wikidata.org/entity/Q33424,Q33424,Iban,Q33424_Iban,Q33424_Iban : Language ;,Q33424_Iban = mkNP Iban_N ;,"Iban_N : N = mkN ""Iban"" ;"
http://www.wikidata.org/entity/Q33578,Q33578,Igbo,Q33578_Igbo,Q33578_Igbo : Language ;,Q33578_Igbo = mkNP Igbo_N ;,"Igbo_N : N = mkN ""Igbo"" ;"
http://www.wikidata.org/entity/Q35936,Q35936,Ilocano,Q35936_Ilocano,Q35936_Ilocano : Language ;,Q35936_Ilocano = mkNP Ilocano_N ;,"Ilocano_N : N = mkN ""Ilocano"" ;"
http://www.wikidata.org/entity/Q9240,Q9240,Indonesian,Q9240_Indonesian,Q9240_Indonesian : Language ;,Q9240_Indonesian = mkNP Indonesian_N ;,"Indonesian_N : N = mkN ""Indonesian"" ;"
