city,entity id,cityLabel_en,function name
http://www.wikidata.org/entity/Q131243,Q131243,Oranjestad,Q131243_Oranjestad
http://www.wikidata.org/entity/Q585,Q585,Oslo,Q585_Oslo
http://www.wikidata.org/entity/Q1930,Q1930,Ottawa,Q1930_Ottawa
http://www.wikidata.org/entity/Q3777,Q3777,Ouagadougou,Q3777_Ouagadougou
http://www.wikidata.org/entity/Q42751,Q42751,Palikir,Q42751_Palikir
http://www.wikidata.org/entity/Q3306,Q3306,Panama City,Q3306_Panama_City
http://www.wikidata.org/entity/Q3001,Q3001,Paramaribo,Q3001_Paramaribo
http://www.wikidata.org/entity/Q90,Q90,Paris,Q90_Paris
http://www.wikidata.org/entity/Q30958,Q30958,Philipsburg,Q30958_Philipsburg
http://www.wikidata.org/entity/Q1850,Q1850,Phnom Penh,Q1850_Phnom_Penh
http://www.wikidata.org/entity/Q23564,Q23564,Podgorica,Q23564_Podgorica
http://www.wikidata.org/entity/Q3929,Q3929,Port Louis,Q3929_Port_Louis
http://www.wikidata.org/entity/Q36526,Q36526,Port Moresby,Q36526_Port_Moresby
http://www.wikidata.org/entity/Q37806,Q37806,Port Vila,Q37806_Port_Vila
http://www.wikidata.org/entity/Q39178,Q39178,Port of Spain,Q39178_Port_of_Spain
http://www.wikidata.org/entity/Q34261,Q34261,Port-au-Prince,Q34261_Port_au_Prince
http://www.wikidata.org/entity/Q3799,Q3799,Porto-Novo,Q3799_Porto_Novo
http://www.wikidata.org/entity/Q1085,Q1085,Prague,Q1085_Prague
http://www.wikidata.org/entity/Q3751,Q3751,Praia,Q3751_Praia
http://www.wikidata.org/entity/Q3926,Q3926,Pretoria,Q3926_Pretoria
http://www.wikidata.org/entity/Q25270,Q25270,Pristina,Q25270_Pristina
http://www.wikidata.org/entity/Q18808,Q18808,Pyongyang,Q18808_Pyongyang
http://www.wikidata.org/entity/Q2900,Q2900,Quito,Q2900_Quito
http://www.wikidata.org/entity/Q3551,Q3551,Rabat,Q3551_Rabat
http://www.wikidata.org/entity/Q158119,Q158119,Ramallah,Q158119_Ramallah
http://www.wikidata.org/entity/Q1764,Q1764,Reykjavík,Q1764_Reykjavik
http://www.wikidata.org/entity/Q322361,Q322361,Ribe,Q322361_Ribe
http://www.wikidata.org/entity/Q1773,Q1773,Riga,Q1773_Riga
http://www.wikidata.org/entity/Q3692,Q3692,Riyadh,Q3692_Riyadh
http://www.wikidata.org/entity/Q33687,Q33687,Rohri,Q33687_Rohri
http://www.wikidata.org/entity/Q220,Q220,Rome,Q220_Rome
http://www.wikidata.org/entity/Q36281,Q36281,Roseau,Q36281_Roseau
http://www.wikidata.org/entity/Q36262,Q36262,Saint John's,Q36262_Saint_Johns
http://www.wikidata.org/entity/Q3070,Q3070,San José,Q3070_San_Jose
http://www.wikidata.org/entity/Q2884047,Q2884047,San Marcos de Apalache Historic State Park,Q2884047_San_Marcos_de_Apalache_Historic_State_Park
http://www.wikidata.org/entity/Q1848,Q1848,San Marino,Q1848_San_Marino
http://www.wikidata.org/entity/Q3110,Q3110,San Salvador,Q3110_San_Salvador
http://www.wikidata.org/entity/Q2471,Q2471,Sanaa,Q2471_Sanaa
http://www.wikidata.org/entity/Q2887,Q2887,Santiago,Q2887_Santiago
http://www.wikidata.org/entity/Q34820,Q34820,Santo Domingo,Q34820_Santo_Domingo
http://www.wikidata.org/entity/Q11194,Q11194,Sarajevo,Q11194_Sarajevo
http://www.wikidata.org/entity/Q269808,Q269808,Seborga,Q269808_Seborga
http://www.wikidata.org/entity/Q8684,Q8684,Seoul,Q8684_Seoul
http://www.wikidata.org/entity/Q608415,Q608415,Shuri,Q608415_Shuri
http://www.wikidata.org/entity/Q334,Q334,Singapore,Q334_Singapore
http://www.wikidata.org/entity/Q384,Q384,Skopje,Q384_Skopje
http://www.wikidata.org/entity/Q472,Q472,Sofia,Q472_Sofia
http://www.wikidata.org/entity/Q131233,Q131233,South Tarawa,Q131233_South_Tarawa
http://www.wikidata.org/entity/Q41963,Q41963,Sri Jayawardenepura Kotte,Q41963_Sri_Jayawardenepura_Kotte
http://www.wikidata.org/entity/Q41547,Q41547,St. George's,Q41547_St_Georges
http://www.wikidata.org/entity/Q1754,Q1754,Stockholm,Q1754_Stockholm
http://www.wikidata.org/entity/Q2907,Q2907,Sucre,Q2907_Sucre
http://www.wikidata.org/entity/Q180773,Q180773,Susa,Q180773_Susa
http://www.wikidata.org/entity/Q38807,Q38807,Suva,Q38807_Suva
http://www.wikidata.org/entity/Q3932,Q3932,São Tomé,Q3932_Sao_Tome
http://www.wikidata.org/entity/Q16078002,Q16078002,Tainan Prefecture,Q16078002_Tainan_Prefecture
http://www.wikidata.org/entity/Q1867,Q1867,Taipei,Q1867_Taipei
http://www.wikidata.org/entity/Q15935383,Q15935383,Taipei Prefecture,Q15935383_Taipei_Prefecture
http://www.wikidata.org/entity/Q1770,Q1770,Tallinn,Q1770_Tallinn
http://www.wikidata.org/entity/Q2486,Q2486,Tarawa,Q2486_Tarawa
http://www.wikidata.org/entity/Q269,Q269,Tashkent,Q269_Tashkent
http://www.wikidata.org/entity/Q994,Q994,Tbilisi,Q994_Tbilisi
http://www.wikidata.org/entity/Q3238,Q3238,Tegucigalpa,Q3238_Tegucigalpa
http://www.wikidata.org/entity/Q3616,Q3616,Tehran,Q3616_Tehran
http://www.wikidata.org/entity/Q9270,Q9270,Thimphu,Q9270_Thimphu
http://www.wikidata.org/entity/Q19689,Q19689,Tirana,Q19689_Tirana
http://www.wikidata.org/entity/Q132572,Q132572,Tiraspol,Q132572_Tiraspol
http://www.wikidata.org/entity/Q1490,Q1490,Tokyo,Q1490_Tokyo
http://www.wikidata.org/entity/Q3579,Q3579,Tripoli,Q3579_Tripoli
http://www.wikidata.org/entity/Q79863,Q79863,Tskhinvali,Q79863_Tskhinvali
http://www.wikidata.org/entity/Q3572,Q3572,Tunis,Q3572_Tunis
http://www.wikidata.org/entity/Q10704,Q10704,Tórshavn,Q10704_Torshavn
http://www.wikidata.org/entity/Q23430,Q23430,Ulaanbaatar,Q23430_Ulaanbaatar
