currency,entity id,currencyLabel_en,function name
http://www.wikidata.org/entity/Q179620,Q179620,convertible mark,Q179620_Convertible_mark
http://www.wikidata.org/entity/Q202885,Q202885,dalasi,Q202885_Dalasi
http://www.wikidata.org/entity/Q191830,Q191830,dinar,Q191830_Dinar
http://www.wikidata.org/entity/Q47190,Q47190,forint,Q47190_Forint
http://www.wikidata.org/entity/Q203955,Q203955,gourde,Q203955_Gourde
http://www.wikidata.org/entity/Q203607,Q203607,guilder,Q203607_Guilder
http://www.wikidata.org/entity/Q81893,Q81893,hryvnia,Q81893_Hryvnia
http://www.wikidata.org/entity/Q200759,Q200759,kina,Q200759_Kina
http://www.wikidata.org/entity/Q200337,Q200337,kwanza,Q200337_Kwanza
http://www.wikidata.org/entity/Q201875,Q201875,kyat,Q201875_Kyat
http://www.wikidata.org/entity/Q4587,Q4587,leone,Q4587_Leone
http://www.wikidata.org/entity/Q4823,Q4823,lilangeni,Q4823_Lilangeni
http://www.wikidata.org/entity/Q208039,Q208039,loti,Q208039_Loti
http://www.wikidata.org/entity/Q203567,Q203567,naira,Q203567_Naira
http://www.wikidata.org/entity/Q171503,Q171503,nakfa,Q171503_Nakfa
http://www.wikidata.org/entity/Q131309,Q131309,new shekel,Q131309_New_shekel
http://www.wikidata.org/entity/Q201799,Q201799,ngultrum,Q201799_Ngultrum
http://www.wikidata.org/entity/Q25224,Q25224,pound sterling,Q25224_Pound_sterling
http://www.wikidata.org/entity/Q207396,Q207396,quetzal,Q207396_Quetzal
http://www.wikidata.org/entity/Q181907,Q181907,rand,Q181907_Rand
http://www.wikidata.org/entity/Q39099,Q39099,renminbi,Q39099_Renminbi
http://www.wikidata.org/entity/Q204737,Q204737,riel,Q204737_Riel
http://www.wikidata.org/entity/Q41588,Q41588,rupiah,Q41588_Rupiah
http://www.wikidata.org/entity/Q56349362,Q56349362,sovereign bolivar,Q56349362_Sovereign_bolivar
http://www.wikidata.org/entity/Q183435,Q183435,tugrik,Q183435_Tugrik
http://www.wikidata.org/entity/Q202040,Q202040,won,Q202040_Won
http://www.wikidata.org/entity/Q8146,Q8146,yen,Q8146_Yen
http://www.wikidata.org/entity/Q123213,Q123213,złoty,Q123213_Zloty
